day,tmax,tmin,sun,windrun,dryb,wetb,rad,relh
1/1/1995,2.2,-2.2,4.1,365,-1.4,-2,240,86
2/1/1995,0.7,-2.9,6.7,189,-2.3,-2.4,390,96
3/1/1995,3.4,-6.5,6.3,119,-5.4,-5.4,500,95
4/1/1995,4.2,-5.2,1.1,293,1.5,0.9,240,89
5/1/1995,3.7,1.5,0,226,2.4,2.2,40,96
6/1/1995,6.7,2,5.9,207,2.8,2.7,350,98
7/1/1995,9,-0.6,0,144,0.9,0.7,150,96
8/1/1995,9.4,0.9,0,234,9,8.9,60,99
9/1/1995,9.4,1.6,0,486,5.4,4.5,90,86
10/1/1995,10.2,4.5,0.1,391,5,3.8,120,81
11/1/1995,3.1,0.9,6.4,313,1.2,0,400,79
12/1/1995,4.2,-0.1,5.2,181,0.5,-0.5,390,81
13-01-1995,6.7,-1,0.4,176,2.4,1.9,190,91
14-01-1995,8.6,2.4,0.1,236,5.7,5.6,180,98
15-01-1995,10.8,5.7,1.3,310,8.5,8.4,200,99
16-01-1995,8.7,6.6,0,374,6.7,5.5,110,82
17-01-1995,9.3,6.6,0,374,7.2,7,70,97
18-01-1995,6.2,3.5,4,198,4.4,3.5,320,85
19-01-1995,8.5,1.1,0,365,3,2.7,70,95
20-01-1995,8.2,2.8,2.5,264,3.8,3.3,310,92
21-01-1995,8.9,1.2,0.2,417,5.1,4.7,80,94
22-01-1995,6,3.3,0,327,4.9,4.1,130,87
23-01-1995,7.9,2.1,7.5,527,4.5,3.4,480,82
24-01-1995,6.4,3.7,0,188,4.4,3,330,77
25-01-1995,11.2,3.9,0,369,3.9,3.9,90,100
26-01-1995,3.5,2.5,0.1,284,2.5,2.5,130,100
27-01-1995,10.7,-2.1,0,348,-0.4,-0.5,120,98
28-01-1995,10.6,-0.4,2.1,431,7.4,6.1,360,81
29-01-1995,10.5,6,0,250,8,8,120,100
30-01-1995,7.4,0.7,6.5,197,1,0.5,580,90
31-01-1995,12.2,1,0,437,7.4,7.4,60,100
1/2/1995,8.6,7.5,0,129,7.5,7.5,160,100
2/2/1995,7.6,0,6.1,182,1.8,1.5,600,94
3/2/1995,9.6,1.8,0,224,7.6,6.9,80,90
4/2/1995,10.8,6.6,3.5,152,7,7,510,100
5/2/1995,10.6,1.8,0,287,5.2,5.2,150,100
6/2/1995,11,5.2,5.7,456,8.5,7.8,540,90
7/2/1995,9.9,8,1,184,8,7,320,86
8/2/1995,8.1,6.5,0,225,8,8,110,100
9/2/1995,4.7,0.6,0,272,2,1,210,82
10/2/1995,10.1,2,1.2,112,4.7,4.7,310,100
11/2/1995,11.4,4.7,0,466,7.4,7.4,140,100
12/2/1995,11,5.7,3.7,288,6.3,5.6,540,89
13-02-1995,9.6,6.1,0.4,243,8.1,7.9,250,97
14-02-1995,11.2,3.3,5.3,377,5.4,4.7,640,89
15-02-1995,10.9,5.3,3.7,466,8.5,6.4,500,72
16-02-1995,9.8,4.5,3.3,542,6.6,4.9,490,75
17-02-1995,7.8,3,7.4,335,4.8,3.7,820,82
18-02-1995,9.4,0.6,7.7,372,4.9,3.8,880,82
19-02-1995,10.1,4.9,0,304,5.7,5.1,320,91
20-02-1995,8.9,3.5,0,213,5.5,4.9,320,91
21-02-1995,7.3,5,4.7,337,5.1,3.9,650,81
22-02-1995,9,1.5,2.2,403,7,5.5,540,78
23-02-1995,7.6,0.5,5,225,4.3,3.2,730,82
24-02-1995,6.7,3.3,0.9,143,4,3.9,400,98
25-02-1995,7.5,2.8,5.9,202,3.5,3.3,800,97
26-02-1995,6.1,0,9.6,173,1.8,1.2,990,89
27-02-1995,9.6,-1.7,0,409,2.2,1.6,260,89
28-02-1995,11.2,2.1,0.1,484,9.5,8.7,300,89
1/3/1995,8.4,7.6,6.3,434,7.6,6.4,890,83
2/3/1995,6.6,0,5.9,332,2,0.9,850,80
3/3/1995,3,-1.2,9.6,105,0,-0.5,1290,90
4/3/1995,5.1,-5.8,7,182,-0.6,-1.3,1260,85
5/3/1995,7.8,-0.5,4,391,4.5,3.9,810,90
6/3/1995,6.1,1.2,7,247,4,2.7,840,79
7/3/1995,5.8,-1.4,0,117,3.8,2.9,320,85
8/3/1995,8.3,-0.1,6.1,162,2.5,2,1010,91
9/3/1995,8.9,-2.6,5.9,211,1.8,1.5,1110,94
10/3/1995,13,1.7,9,168,6.5,4.4,1300,69
